Date,TLT,IEI
2010-08-02,77.1137466430664,102.78514862060547
2010-08-03,77.55883026123047,103.22837829589844
2010-08-04,76.96540069580078,102.89151000976562
2010-08-05,77.32463836669922,103.16630554199219
2010-08-06,78.16798400878906,103.48545837402344
2010-08-09,77.87902069091797,103.387939453125
2010-08-10,78.04302215576172,103.76029205322266
2010-08-11,79.08940124511719,103.96420288085938
2010-08-12,78.89420318603516,103.73368072509766
2010-08-13,79.87818145751953,103.89326477050781
2010-08-16,81.87725830078125,104.22130584716797
2010-08-17,81.40867614746094,104.03512573242188
2010-08-18,81.6273422241211,103.94645690917969
2010-08-19,82.90021514892578,104.13267517089844
2010-08-20,82.8064956665039,103.89326477050781
2010-08-23,82.82213592529297,104.07054901123047
2010-08-24,84.14970397949219,104.46954345703125
2010-08-25,83.87635040283203,104.19473266601562
2010-08-26,84.66507720947266,104.36309814453125
2010-08-27,82.26773071289062,103.76029205322266
2010-08-30,83.8450698852539,104.30110931396484
2010-08-31,84.77436828613281,104.48726654052734
2010-09-01,83.02153015136719,104.154296875
2010-09-02,82.14430236816406,104.01222229003906
2010-09-03,81.12609100341797,103.72815704345703
2010-09-07,82.78652954101562,104.14546203613281
2010-09-08,82.12866973876953,103.94120788574219
2010-09-09,80.50737762451172,103.43515014648438
2010-09-10,80.1392593383789,103.30194854736328
2010-09-13,80.53089141845703,103.68374633789062
2010-09-14,81.30626678466797,104.03001403808594
2010-09-15,80.1001205444336,103.93231201171875
2010-09-16,79.30904388427734,103.83472442626953
2010-09-17,79.63015747070312,103.958984375
2010-09-20,80.09231567382812,104.154296875
2010-09-21,81.2044677734375,104.66038513183594
2010-09-22,81.9328384399414,104.63375091552734
2010-09-23,82.16780090332031,104.71363830566406
2010-09-24,81.06344604492188,104.50056457519531
2010-09-27,82.47328186035156,104.88236999511719
2010-09-28,83.03721618652344,105.0865478515625
2010-09-29,82.69258117675781,105.0155029296875
2010-09-30,82.63774871826172,104.97998809814453
2010-10-01,82.2383804321289,105.0511703491211
2010-10-04,82.45062255859375,105.23789978027344
2010-10-05,81.95536804199219,105.35350799560547
2010-10-06,82.9852294921875,105.59362030029297
2010-10-07,82.29344177246094,105.70032501220703
2010-10-08,81.93180847167969,105.78929138183594
2010-10-11,81.94754028320312,105.83370971679688
2010-10-12,81.13778686523438,105.64700317382812
2010-10-13,81.01201629638672,105.74480438232422
2010-10-14,79.80135345458984,105.42466735839844
2010-10-15,78.82656860351562,105.34465026855469
2010-10-18,79.46332550048828,105.70919036865234
2010-10-19,79.94287872314453,105.78929138183594
2010-10-20,80.1158218383789,105.83370971679688
2010-10-21,79.16454315185547,105.60249328613281
2010-10-22,79.69913482666016,105.54022979736328
2010-10-25,79.92711639404297,105.47804260253906
2010-10-26,78.69288635253906,105.09561157226562
2010-10-27,78.0010757446289,104.78438568115234
2010-10-28,78.21334075927734,105.30906677246094
2010-10-29,78.94445037841797,105.59362030029297
2010-11-01,78.60453033447266,105.64085388183594
2010-11-02,79.63766479492188,105.72095489501953
2010-11-03,78.01304626464844,106.01487731933594
2010-11-04,78.62031555175781,106.3533706665039
2010-11-05,77.27174377441406,106.05941009521484
2010-11-08,77.61873626708984,106.00597381591797
2010-11-09,75.90738677978516,105.42711639404297
2010-11-10,76.00984954833984,105.63192749023438
2010-11-11,75.97047424316406,105.47158813476562
2010-11-12,75.56035614013672,104.97282409667969
2010-11-15,73.98306274414062,104.23355865478516
2010-11-16,75.82061004638672,104.49187469482422
2010-11-17,75.40264129638672,104.44730377197266
2010-11-18,75.71022033691406,104.25142669677734
2010-11-19,76.17549896240234,104.20683288574219
2010-11-22,76.49885559082031,104.66114807128906
2010-11-23,76.87737274169922,104.80357360839844
2010-11-24,75.50518035888672,104.14456939697266
2010-11-26,76.55404663085938,104.34046936035156
2010-11-29,77.20866394042969,104.39391326904297
2010-11-30,77.61087799072266,104.58094024658203
2010-12-01,75.88563537597656,103.88964080810547
2010-12-02,75.68775177001953,103.64881896972656
2010-12-03,75.09422302246094,103.85396575927734
2010-12-06,76.15472412109375,104.2464599609375
2010-12-07,74.52445983886719,103.40797424316406
2010-12-08,73.80431365966797,102.75682830810547
2010-12-09,74.16834259033203,102.56058502197266
2010-12-10,73.71726989746094,102.19487762451172
2010-12-13,73.9942398071289,102.55165100097656
2010-12-14,72.91795349121094,101.96296691894531
2010-12-15,71.9682846069336,101.77561950683594
2010-12-16,72.46686553955078,102.00757598876953
2010-12-17,73.78846740722656,102.46245574951172
2010-12-20,73.70929718017578,102.5159912109375
2010-12-21,74.22372436523438,102.54273986816406
2010-12-22,73.6935043334961,102.38218688964844
2010-12-23,73.54315185546875,102.09676361083984
2010-12-27,74.20001220703125,102.21269989013672
2010-12-28,72.74678039550781,101.70073699951172
2010-12-29,73.97764587402344,102.43344116210938
2010-12-30,73.9220199584961,102.27257537841797
2010-12-31,74.73999786376953,102.44235229492188
2011-01-03,74.17620849609375,102.49597930908203
2011-01-04,74.26350402832031,102.5584945678711
2011-01-05,72.62765502929688,101.98668670654297
2011-01-06,72.94532775878906,102.21007537841797
2011-01-07,73.33441925048828,102.728271484375
2011-01-10,73.7314453125,102.98741912841797
2011-01-11,73.31854248046875,102.79083251953125
2011-01-12,72.74678039550781,102.68359375
2011-01-13,73.39791870117188,103.08573150634766
2011-01-14,72.9294204711914,103.00528717041016
2011-01-18,72.58795928955078,102.84442138671875
2011-01-19,73.11209106445312,102.96952056884766
2011-01-20,72.10359954833984,102.51387023925781
2011-01-21,72.6753158569336,102.66571807861328
